# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_at[1] c_rdf_at[2] c_rdf_at[3] c_rdf_at[4] c_rdf_at[5] c_rdf_at[6] c_rdf_at[7]
600000 200
118 8.225 0.930269 1.4914 0.916975 83.6582 0.929273 82.5743
119 8.295 0.914635 1.53155 0.920942 85.7434 0.926521 84.6699
120 8.365 0.966594 1.5747 0.924138 87.8712 0.927508 86.8034
121 8.435 0.894439 1.6153 0.921613 90.0289 0.927543 88.9728
122 8.505 0.974039 1.66025 0.926555 92.2344 0.926847 91.1767
123 8.575 0.95074 1.70485 0.935274 94.4974 0.927096 93.4176
124 8.645 0.998326 1.75245 0.935824 96.7989 0.929069 95.7001
125 8.715 1.03704 1.8027 0.946959 99.1655 0.93171 98.0263
126 8.785 1.00027 1.85195 0.956125 101.594 0.93416 100.396
127 8.855 0.980522 1.901 0.957685 104.065 0.936199 102.809
128 8.925 1.00456 1.95205 0.968588 106.604 0.939596 105.27
129 8.995 1.06454 2.007 0.966905 109.178 0.942069 107.775
130 9.065 0.995704 2.0592 0.977649 111.821 0.947411 110.335
131 9.135 1.06972 2.11615 0.990291 114.541 0.950585 112.942
132 9.205 1.02762 2.1717 0.993901 117.312 0.95671 115.607
133 9.275 1.06774 2.2303 1.00188 120.148 0.960858 118.324
134 9.345 1.07424 2.29015 1.00709 123.042 0.966654 121.099
135 9.415 1.03799 2.34885 1.01268 125.996 0.970662 123.928
136 9.485 1.06454 2.40995 1.01625 129.004 0.97504 126.811
137 9.555 1.06617 2.47205 1.01754 132.061 0.980618 129.754
138 9.625 1.08286 2.53605 1.02496 135.186 0.985328 132.755
139 9.695 0.984736 2.5951 1.02954 138.37 0.990594 135.816
140 9.765 1.05697 2.6594 1.03452 141.616 0.994854 138.934
141 9.835 1.01119 2.7218 1.03509 144.911 0.998663 142.109
142 9.905 1.0265 2.78605 1.03918 148.266 1.00422 145.348
143 9.975 0.972763 2.8478 1.04594 151.69 1.00875 148.648
144 10.045 1.05634 2.9158 1.04728 155.168 1.01206 152.004
145 10.115 1.01037 2.98175 1.04336 158.68 1.01573 155.421
146 10.185 1.01844 3.04915 1.04388 162.244 1.01832 158.893
147 10.255 1.02768 3.1181 1.04527 165.861 1.02092 162.423
148 10.325 1.05055 3.18955 1.04108 169.513 1.02513 166.015
149 10.395 0.992934 3.258 1.04895 173.243 1.02634 169.661
150 10.465 0.996155 3.3276 1.04793 177.019 1.02978 173.368
151 10.535 0.943416 3.3944 1.04927 180.851 1.03031 177.127
152 10.605 0.960968 3.46335 1.0526 184.747 1.0329 180.946
153 10.675 0.95666 3.5329 1.04477 188.664 1.03374 184.818
154 10.745 0.957133 3.6034 1.04275 192.626 1.03526 188.747
155 10.815 0.995038 3.67765 1.04252 196.639 1.03542 192.728
156 10.885 0.970374 3.751 1.04087 200.697 1.03617 196.764
157 10.955 1.02136 3.8292 1.03939 204.801 1.03675 200.854
158 11.025 0.942018 3.90225 1.03928 208.958 1.03633 204.995
159 11.095 0.962639 3.97785 1.03341 213.144 1.03557 209.185
160 11.165 1.00719 4.05795 1.03501 217.39 1.03477 213.426
161 11.235 0.96115 4.13535 1.029 221.664 1.03392 217.716
162 11.305 0.956643 4.21335 1.029 225.991 1.03239 222.053
163 11.375 0.959442 4.29255 1.02435 230.353 1.03068 226.437
164 11.445 0.949536 4.3719 1.02066 234.752 1.03064 230.875
165 11.515 0.960488 4.45315 1.01719 239.19 1.02941 235.362
166 11.585 0.950667 4.53455 1.01498 243.673 1.02703 239.893
167 11.655 0.966976 4.61835 1.01066 248.191 1.02544 244.472
168 11.725 0.960595 4.7026 1.01374 252.776 1.02205 249.091
169 11.795 0.959931 4.7878 1.00661 257.385 1.02032 253.757
170 11.865 0.97035 4.87495 1.00387 262.035 1.01843 258.47
171 11.935 0.906732 4.95735 0.998415 266.715 1.01582 263.226
172 12.005 0.952744 5.04495 0.996753 271.442 1.01424 268.031
173 12.075 0.95463 5.13375 0.992186 276.202 1.01105 272.877
174 12.145 0.955878 5.2237 0.994998 281.032 1.00874 277.769
175 12.215 0.938651 5.31305 0.990465 285.895 1.00695 282.707
176 12.285 0.952391 5.40475 0.986891 290.796 1.0046 287.691
177 12.355 0.92674 5.495 0.992493 295.781 1.00269 292.723
178 12.425 0.942726 5.58785 0.988113 300.801 1.00095 297.802
179 12.495 0.914121 5.6789 0.983934 305.856 0.997953 302.924
180 12.565 0.908432 5.7704 0.981577 310.955 0.996192 308.094
181 12.635 0.90674 5.86275 0.980025 316.103 0.993541 313.308
182 12.705 0.908914 5.95635 0.980298 321.31 0.992294 318.573
183 12.775 0.957088 6.056 0.979654 326.571 0.991098 323.891
184 12.845 0.938135 6.15475 0.977045 331.876 0.988126 329.25
185 12.915 0.909668 6.25155 0.98012 337.256 0.98672 334.66
