# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_at[1] c_rdf_at[2] c_rdf_at[3] c_rdf_at[4] c_rdf_at[5] c_rdf_at[6] c_rdf_at[7]
400000 200
144 10.045 1.17984 3.13425 1.04102 154.743 1.01105 151.997
145 10.115 1.14289 3.20885 1.04276 158.253 1.01418 155.408
146 10.185 1.08341 3.28055 1.04184 161.81 1.01789 158.879
147 10.255 1.16406 3.35865 1.04472 165.425 1.02004 162.406
148 10.325 1.11892 3.43475 1.04527 169.092 1.02377 165.993
149 10.395 1.16701 3.5152 1.04417 172.804 1.02614 169.638
150 10.465 1.15646 3.596 1.03517 176.535 1.02787 173.339
151 10.535 1.14679 3.6772 1.04098 180.337 1.03107 177.1
152 10.605 1.07804 3.75455 1.04003 184.186 1.03262 180.918
153 10.675 1.06601 3.83205 1.04203 188.093 1.03282 184.787
154 10.745 1.13838 3.9159 1.03824 192.038 1.03422 188.712
155 10.815 1.03457 3.9931 1.03614 196.026 1.03437 192.689
156 10.885 1.1245 4.0781 1.03997 200.08 1.03573 196.723
157 10.955 1.0847 4.16115 1.03462 204.166 1.03673 200.813
158 11.025 1.09547 4.2461 1.03201 208.294 1.03601 204.953
159 11.095 1.05177 4.3287 1.02638 212.451 1.03564 209.144
160 11.165 1.05497 4.4126 1.02438 216.653 1.03447 213.383
161 11.235 1.08533 4.5 1.02249 220.9 1.03434 217.674
162 11.305 1.07377 4.58755 1.01922 225.187 1.03326 222.015
163 11.375 1.07816 4.67655 1.01906 229.526 1.03245 226.407
164 11.445 1.04228 4.76365 1.01255 233.89 1.03116 230.847
165 11.515 1.04737 4.85225 1.01127 238.302 1.0292 235.333
166 11.585 1.02716 4.9402 1.00692 242.749 1.02717 239.865
167 11.655 1.05179 5.03135 1.00692 247.25 1.02471 244.44
168 11.725 1.02616 5.12135 1.00406 251.792 1.02255 249.061
169 11.795 1.01119 5.2111 0.996383 256.354 1.02104 253.731
170 11.865 1.04272 5.30475 0.994801 260.962 1.01973 258.45
171 11.935 1.02943 5.3983 0.995711 265.629 1.01715 263.213
172 12.005 0.977215 5.48815 0.991028 270.329 1.0142 268.018
173 12.075 1.00354 5.5815 0.989398 275.076 1.0112 272.864
174 12.145 1.02176 5.67765 0.990728 279.885 1.01013 277.762
175 12.215 0.976995 5.77065 0.986009 284.726 1.00788 282.706
176 12.285 0.976798 5.8647 0.98442 289.615 1.0054 287.694
177 12.355 1.03918 5.9659 0.985993 294.567 1.00313 292.727
178 12.425 0.98537 6.06295 0.983802 299.565 1.00155 297.81
179 12.495 1.01502 6.16405 0.978659 304.593 1.00032 302.944
180 12.565 0.976937 6.26245 0.980018 309.684 0.996437 308.115
181 12.635 0.99118 6.3634 0.97668 314.815 0.994998 313.337
182 12.705 0.979802 6.4643 0.981564 320.029 0.993671 318.609
