# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_ref[1] c_rdf_ref[2] c_rdf_ref[3] c_rdf_ref[4] c_rdf_ref[5] c_rdf_ref[6] c_rdf_ref[7]
400000 200
81 5.635 1.38746 0.60525 1.17658 23.9443 1.13328 20.5919
82 5.705 1.24485 0.631 1.16686 25.1893 1.14358 21.8107
83 5.775 1.3847 0.66035 1.15535 26.4524 1.15279 23.0697
84 5.845 1.2412 0.6873 1.16012 27.7516 1.15841 24.3658
85 5.915 1.36715 0.7177 1.15782 29.0796 1.15954 25.6943
86 5.985 1.31998 0.74775 1.15468 30.4354 1.16325 27.0588
87 6.055 1.24028 0.77665 1.14322 31.8094 1.16099 28.4527
88 6.125 1.30646 0.8078 1.12889 33.1977 1.15559 29.8724
89 6.195 1.28531 0.83915 1.1128 34.5977 1.15156 31.3197
90 6.265 1.18459 0.8687 1.1008 36.014 1.14361 32.7896
91 6.335 1.30362 0.90195 1.08563 37.4423 1.13708 34.284
92 6.405 1.16405 0.9323 1.06913 38.88 1.12658 35.7975
93 6.475 1.10337 0.9617 1.06257 40.3404 1.11749 37.3317
94 6.545 1.08724 0.9913 1.04249 41.8043 1.10718 38.8849
95 6.615 1.16863 1.0238 1.03053 43.2825 1.09849 40.459
96 6.685 1.01929 1.05275 1.01606 44.771 1.08978 42.0538
97 6.755 1.06552 1.08365 0.995911 46.2607 1.08229 43.6711
98 6.825 1.0083 1.1135 1.00092 47.789 1.075 45.3109
99 6.895 1.09053 1.14645 0.990192 49.3321 1.06992 46.9766
100 6.965 1.12062 1.181 0.972621 50.8788 1.06202 48.6637
101 7.035 1.11751 1.21615 0.975675 52.4617 1.05278 50.37
102 7.105 1.07066 1.2505 0.955336 54.0426 1.04183 52.0922
103 7.175 1.05751 1.2851 0.947497 55.6416 1.03427 53.8359
104 7.245 1.09563 1.32165 0.934841 57.2502 1.02346 55.5951
105 7.315 1.06006 1.3577 0.9263 58.875 1.01392 57.3718
106 7.385 1.09054 1.3955 0.928624 60.5352 1.00545 59.1675
107 7.455 1.07865 1.4336 0.914519 62.2013 0.992983 60.9747
108 7.525 1.10731 1.47345 0.913261 63.8965 0.984604 62.8005
109 7.595 1.0488 1.5119 0.911708 65.6205 0.97605 64.6443
110 7.665 1.17971 1.55595 0.903998 67.3615 0.967801 66.5063
111 7.735 1.119 1.5985 0.902178 69.131 0.960136 68.3875
112 7.805 1.16101 1.64345 0.897598 70.9234 0.953719 70.2901
113 7.875 1.15061 1.6888 0.893948 72.7408 0.947375 72.214
114 7.945 1.19648 1.7368 0.896098 74.595 0.943748 74.1649
115 8.015 1.20017 1.7858 0.892825 76.4751 0.940079 76.1425
116 8.085 1.17707 1.8347 0.899226 78.402 0.935426 78.1449
117 8.155 1.12383 1.8822 0.899049 80.3619 0.932397 80.1755
118 8.225 1.13501 1.931 0.894871 82.3465 0.931266 82.2386
119 8.295 1.14795 1.9812 0.907363 84.3931 0.930715 84.3357
120 8.365 1.17492 2.03345 0.91126 86.4833 0.930134 86.4671
121 8.435 1.18204 2.0869 0.908021 88.6011 0.929462 88.6326
122 8.505 1.15287 2.1399 0.922931 90.7895 0.930018 90.8357
123 8.575 1.20046 2.196 0.924986 93.0191 0.930476 93.0762
124 8.645 1.1632 2.25125 0.924904 95.285 0.932485 95.3583
125 8.715 1.21503 2.3099 0.934526 97.6118 0.935079 97.6841
126 8.785 1.16007 2.3668 0.943014 99.9975 0.935666 100.049
127 8.855 1.16287 2.42475 0.946818 102.431 0.940161 102.463
128 8.925 1.1605 2.4835 0.958383 104.934 0.942738 104.922
129 8.995 1.24752 2.54765 0.963253 107.488 0.946887 107.431
130 9.065 1.22259 2.6115 0.96603 110.091 0.95113 109.99
131 9.135 1.21241 2.6758 0.969743 112.743 0.955316 112.601
132 9.205 1.2516 2.7432 0.981413 115.469 0.958766 115.261
133 9.275 1.22181 2.81 0.99404 118.273 0.963256 117.975
134 9.345 1.24681 2.8792 0.995176 121.121 0.968897 120.746
135 9.415 1.23544 2.9488 0.999396 124.025 0.973175 123.571
136 9.485 1.26187 3.02095 1.00566 126.991 0.97751 126.45
137 9.555 1.2874 3.09565 1.0144 130.027 0.982557 129.388
138 9.625 1.21184 3.167 1.01909 133.122 0.986841 132.382
139 9.695 1.28815 3.24395 1.01597 136.252 0.991059 135.432
140 9.765 1.2648 3.3206 1.01807 139.435 0.995398 138.541
141 9.835 1.24605 3.3972 1.02605 142.688 1.00064 141.71
142 9.905 1.27501 3.4767 1.02922 145.998 1.00373 144.935
143 9.975 1.26429 3.55665 1.03289 149.367 1.0093 148.224
144 10.045 1.2249 3.6352 1.03807 152.801 1.01237 151.569
145 10.115 1.20416 3.7135 1.03669 156.278 1.017 154.976
146 10.185 1.23772 3.7951 1.0363 159.802 1.01888 158.437
147 10.255 1.25679 3.8791 1.04064 163.389 1.02109 161.954
148 10.325 1.228 3.9623 1.04301 167.034 1.02582 165.535
149 10.395 1.17657 4.0431 1.03681 170.706 1.02892 169.176
150 10.465 1.22984 4.1287 1.0388 174.436 1.02973 172.869
151 10.535 1.1689 4.21115 1.04199 178.227 1.03119 176.617
152 10.605 1.19409 4.2965 1.04053 182.063 1.03313 180.422
153 10.675 1.17917 4.3819 1.04 185.948 1.03456 184.282
154 10.745 1.15091 4.46635 1.04049 189.886 1.03527 188.197
155 10.815 1.13202 4.5505 1.03564 193.857 1.03476 192.16
156 10.885 1.14274 4.63655 1.0357 197.879 1.03516 196.176
157 10.955 1.15965 4.725 1.03165 201.938 1.03664 200.251
158 11.025 1.09255 4.8094 1.03405 206.058 1.03497 204.37
159 11.095 1.06922 4.89305 1.02951 210.212 1.03507 208.543
160 11.165 1.15241 4.98435 1.02724 214.41 1.03454 212.766
161 11.235 1.14433 5.07615 1.0259 218.655 1.03309 217.036
162 11.305 1.12035 5.16715 1.0204 222.93 1.03213 221.356
163 11.375 1.15099 5.2618 1.01747 227.245 1.03049 225.722
164 11.445 1.10332 5.35365 1.01343 231.597 1.02807 230.132
165 11.515 1.08402 5.445 1.01314 236.001 1.0269 234.591
166 11.585 1.10202 5.539 1.01232 240.454 1.02483 239.095
167 11.655 1.12937 5.6365 1.00441 244.927 1.02319 243.647
168 11.725 1.06728 5.72975 1.00432 249.453 1.02012 248.239
169 11.795 1.08519 5.8257 1.00133 254.02 1.01883 252.881
170 11.865 1.08024 5.92235 1.00067 258.637 1.0171 257.57
171 11.935 1.07147 6.01935 1.00022 263.308 1.01419 262.301
172 12.005 1.06284 6.1167 0.996751 268.017 1.01226 267.078
173 12.075 1.0403 6.2131 0.993022 272.763 1.00943 271.898
174 12.145 1.01927 6.30865 0.992626 277.563 1.00778 276.766
175 12.215 1.01712 6.4051 0.986868 282.39 1.00527 281.678
176 12.285 1.02224 6.50315 0.99327 287.304 1.00247 286.632
177 12.355 1.01481 6.6016 0.985958 292.237 1.00076 291.635
178 12.425 1.02023 6.7017 0.985635 297.225 0.998685 296.683
179 12.495 1.0184 6.80275 0.979825 302.24 0.99634 301.777
180 12.565 1.01257 6.90435 0.978744 307.305 0.995433 306.924
181 12.635 0.988565 7.00465 0.979628 312.432 0.993134 312.116
182 12.705 1.03375 7.1107 0.977647 317.605 0.991381 317.356
183 12.775 1.00799 7.21525 0.97485 322.82 0.989777 322.646
184 12.845 0.985592 7.3186 0.975722 328.097 0.988837 327.989
185 12.915 1.03814 7.42865 0.976723 333.438 0.986822 333.379
186 12.985 1.01951 7.5379 0.973666 338.819 0.986249 338.824
187 13.055 1.01092 7.6474 0.976229 344.274 0.984876 344.321
188 13.125 1.04812 7.76215 0.980675 349.811 0.984066 349.873
189 13.195 1.01443 7.8744 0.978129 355.394 0.984369 355.485
190 13.265 1.04668 7.99145 0.982024 361.058 0.983381 361.151
191 13.335 0.993243 8.1037 0.984028 366.794 0.982794 366.874
192 13.405 1.04813 8.2234 0.984125 372.591 0.982746 372.657
193 13.475 1.01994 8.3411 0.981979 378.436 0.982176 378.498
194 13.545 0.993986 8.457 0.985735 384.365 0.982911 384.403
195 13.615 1.05637 8.58145 0.983919 390.343 0.982649 390.368
196 13.685 1.02584 8.70355 0.979377 396.356 0.983587 396.4
197 13.755 1.04994 8.8298 0.988194 402.485 0.983811 402.495
198 13.825 1.01258 8.9528 0.989066 408.682 0.984827 408.66
199 13.895 1.01259 9.07705 0.99286 414.965 0.984926 414.887
200 13.965 1.01376 9.2027 0.994366 421.322 0.98655 421.187
800000 200
1 0.035 0 0 0 0 0 0
2 0.105 0 0 0 0 0 0
3 0.175 0 0 0 0 0 0
4 0.245 0 0 0 0 0 0
5 0.315 0 0 0 0 0 0
6 0.385 0 0 0 0 0 0
7 0.455 0 0 0 0 0 0
8 0.525 0 0 0 0 0 0
9 0.595 0 0 0 0 0 0
10 0.665 0 0 0 0 0 0
