# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_ref[1] c_rdf_ref[2] c_rdf_ref[3] c_rdf_ref[4] c_rdf_ref[5] c_rdf_ref[6] c_rdf_ref[7]
600000 200
105 7.315 0.808643 1.08805 0.954947 59.2758 1.01271 57.3758
106 7.385 0.741455 1.11375 0.939447 60.9554 1.00285 59.1669
107 7.455 0.765817 1.1408 0.944735 62.6766 0.993017 60.9742
108 7.525 0.801652 1.16965 0.931699 64.406 0.983074 62.7972
109 7.595 0.81422 1.1995 0.927362 66.1596 0.973538 64.6362
110 7.665 0.856996 1.2315 0.918744 67.929 0.96621 66.4951
111 7.735 0.806052 1.26215 0.919105 69.7317 0.958739 68.3736
112 7.805 0.770995 1.292 0.914536 71.5579 0.95195 70.2726
113 7.875 0.824585 1.3245 0.911078 73.4101 0.945541 72.1929
114 7.945 0.815104 1.3572 0.913206 75.2997 0.941278 74.1386
115 8.015 0.808277 1.3902 0.910027 77.2161 0.938353 76.1126
116 8.085 0.836466 1.42495 0.906098 79.1577 0.934916 78.1139
117 8.155 0.848193 1.4608 0.912948 81.1479 0.932793 80.1454
118 8.225 0.866379 1.49805 0.917462 83.1825 0.930826 82.2075
119 8.295 0.876973 1.5364 0.913238 85.2424 0.929433 84.3017
120 8.365 0.857859 1.57455 0.925548 87.3654 0.929035 86.4305
121 8.435 0.919976 1.61615 0.922577 89.5171 0.930657 88.5989
122 8.505 0.911421 1.65805 0.934296 91.7326 0.929884 90.8016
123 8.575 0.924419 1.70125 0.935513 93.9875 0.930791 93.0429
124 8.645 0.906352 1.7443 0.93668 96.2823 0.93124 95.322
125 8.715 0.940535 1.7897 0.953022 98.6551 0.933944 97.6449
126 8.785 1.04691 1.84105 0.954625 101.07 0.935734 100.01
127 8.855 0.885946 1.8852 0.958558 103.534 0.937075 102.416
128 8.925 1.04396 1.93805 0.967574 106.061 0.940859 104.87
129 8.995 0.961652 1.9875 0.972989 108.641 0.946696 107.379
130 9.065 0.94207 2.0367 0.977195 111.273 0.950426 109.936
131 9.135 1.02951 2.0913 0.984548 113.967 0.953239 112.541
132 9.205 1.02969 2.14675 0.995517 116.732 0.957878 115.199
