# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_ref[1] c_rdf_ref[2] c_rdf_ref[3] c_rdf_ref[4] c_rdf_ref[5] c_rdf_ref[6] c_rdf_ref[7]
271000 200
183 12.775 1.0073 49.7277 0.987675 251.554 0.991697 248.747
184 12.845 1.0148 50.5803 0.992024 255.726 0.995589 252.933
185 12.915 1.01685 51.444 0.996316 259.961 0.990522 257.143
186 12.985 1.01759 52.3177 0.997939 264.25 0.992871 261.409
187 13.055 1.02742 53.2094 0.999949 268.593 0.998049 265.743
188 13.125 1.03184 54.1145 0.998476 272.977 0.998754 270.127
189 13.195 1.02922 55.027 1.00238 277.425 0.999179 274.56
190 13.265 1.0197 55.9407 1.00363 281.926 1.00135 279.05
191 13.335 1.02327 56.8673 1.00726 286.491 1.00215 283.591
192 13.405 1.02041 57.801 1.00915 291.113 1.00311 288.184
193 13.475 1.02161 58.7456 1.01183 295.795 1.00454 292.832
194 13.545 1.02886 59.7068 1.01354 300.534 1.0068 297.538
195 13.615 1.02094 60.6705 1.01246 305.318 1.00659 302.293
196 13.685 1.02701 61.6499 1.01153 310.146 1.00722 307.1
197 13.755 1.02777 62.6401 1.01378 315.034 1.00795 311.959
198 13.825 1.01975 63.6326 1.01856 319.996 1.01316 316.893
199 13.895 1.01422 64.6298 1.02142 325.022 1.01379 321.881
200 13.965 1.0155 65.6383 1.01771 330.08 1.00996 326.9
272000 200
1 0.035 0 0 0 0 0 0
2 0.105 0 0 0 0 0 0
3 0.175 0 0 0 0 0 0
4 0.245 0 0 0 0 0 0
5 0.315 0 0 0 0 0 0
6 0.385 0 0 0 0 0 0
7 0.455 0 0 0 0 0 0
8 0.525 0 0 0 0 0 0
9 0.595 0 0 0 0 0 0
10 0.665 0 0 0 0 0 0
11 0.735 0 0 0 0 0 0
12 0.805 0 0 0 0 0 0
13 0.875 0 0 0 0 0 0
14 0.945 0 0 0 0 0 0
15 1.015 0 0 0 0 0 0
16 1.085 0 0 0 0 0 0
17 1.155 0 0 0 0 0 0
18 1.225 0 0 0 0 0 0
19 1.295 0 0 0 0 0 0
20 1.365 0 0 0 0 0 0
21 1.435 0 0 0 0 0 0
22 1.505 0 0 0 0 0 0
23 1.575 0 0 0 0 0 0
24 1.645 0 0 0 0 0 0
25 1.715 0 0 0 0 0 0
26 1.785 0 0 0 0 0 0
27 1.855 0 0 0 0 0 0
28 1.925 0 0 0 0 0 0
29 1.995 0 0 0 0 0 0
30 2.065 0 0 0 0 0 0
31 2.135 0 0 0 0 0 0
32 2.205 0 0 0 0 0 0
33 2.275 0 0 0 0 0 0
34 2.345 0 0 0 0 0 0
35 2.415 0 0 0 0 0 0
36 2.485 0 0 0 0 0 0
37 2.555 0 0 0 0 0 0
38 2.625 0 0 0 0 0 0
39 2.695 0 0 0 0 0 0
40 2.765 0 0 0 0 0 0
41 2.835 0 0 0 0 0 0
42 2.905 0 0 0 0 0 0
43 2.975 0 0 0 0 0 0
44 3.045 0 0 0 0 0 0
45 3.115 0 0 0.000121304 3e-05 4.85315e-05 1.2e-05
46 3.185 0.00348442 0.00018 0.0015084 0.00042 0.000371374 0.000108
47 3.255 0.0185343 0.00118 0.00762848 0.00248 0.00245938 0.000772
